release_year,album,title,lyrics
1975,The Basement Tapes,"Please, Mrs. Henry","well, i’ve already had two beers

i’m ready for the broom

please, missus henry, won’t you

take me to my room

i’m a good ol’ boy

but i’ve been sniffin’ too many eggs

talkin’ to too many people

drinkin’ too many kegs

please, missus henry, missus henry, please

please, missus henry, missus henry, please

i’m down on my knees

an’ i ain’t got a dime



well, i’m groanin’ in a hallway

pretty soon i’ll be mad

please, missus henry, won’t you

take me to your dad

i can drink like a fish

i can crawl like a snake

i can bite like a turkey

i can slam like a drake

please, missus henry, missus henry, please

please, missus henry, missus henry, please

i’m down on my knees

an’ i ain’t got a dime



now, don’t crowd me, lady

or i’ll fill up your shoe

i’m a sweet bourbon daddy

an’ tonight i am blue

i’m a thousand years old

and i’m a generous bomb

i’m t-boned and punctured

but i’m known to be calm

please, missus henry, missus henry, please

please, missus henry, missus henry, please

i’m down on my knees

an’ i ain’t got a dime



now, i’m startin’ to drain

my stool’s gonna squeak

if i walk too much farther

my crane’s gonna leak

look, missus henry

there’s only so much i can do

why don’t you look my way

an’ pump me a few

please, missus henry, missus henry, please

please, missus henry, missus henry, please

i’m down on my knees

an’ i ain’t got a dime"
1975,The Basement Tapes,Tears of Rage,"we carried you in our arms

on independence day

and now you’d throw us all aside

and put us on our way

oh what dear daughter ’neath the sun

would treat a father so

to wait upon him hand and foot

and always tell him, “no”

tears of rage, tears of grief

why must i always be the thief

come to me now, you know

we’re so alone

and life is brief



we pointed out the way to go

and scratched your name in sand

though you just thought it was nothing more

than a place for you to stand

now, i want you to know that while we watched

you discover there was no one true

most ev’rybody really thought

it was a childish thing to do

tears of rage, tears of grief

must i always be the thief

come to me now, you know

we’re so low

and life is brief



it was all very painless

when you went out to receive

all that false instruction

which we never could believe

and now the heart is filled with gold

as if it was a purse

but, oh, what kind of love is this

which goes from bad to worse

tears of rage, tears of grief

must i always be the thief

come to me now, you know

we’re so low

and life is brief"
1975,The Basement Tapes,Too Much of Nothing,"now, too much of nothing

can make a man feel ill at ease

one man’s temper might rise

while another man’s temper might freeze

in the day of confession

we cannot mock a soul

oh, when there’s too much of nothing

no one has control



say hello to valerie

say hello to vivian

send them all my salary

on the waters of oblivion



too much of nothing

can make a man abuse a king

he can walk the streets and boast like most

but he wouldn’t know a thing

now, it’s all been done before

it’s all been written in the book

but when there’s too much of nothing

nobody should look



say hello to valerie

say hello to vivian

send them all my salary

on the waters of oblivion



too much of nothing

can turn a man into a liar

it can cause one man to sleep on nails

and another man to eat fire

ev’rybody’s doin’ somethin’

i heard it in a dream

but when there’s too much of nothing

it just makes a fella mean



say hello to valerie

say hello to vivian

send them all my salary

on the waters of oblivion"
1975,The Basement Tapes,Yea! Heavy and a Bottle of Bread,"well, the comic book and me, just us, we caught the bus

the poor little chauffeur, though, she was back in bed

on the very next day, with a nose full of pus

yea heavy and a bottle of bread

yea heavy and a bottle of bread

yea heavy and a bottle of bread



it’s a one-track town, just brown, and a breeze, too

pack up the meat, sweet, we’re headin’ out

for wichita in a pile of fruit

get the loot, don’t be slow, we’re gonna catch a trout

get the loot, don’t be slow, we’re gonna catch a trout

get the loot, don’t be slow, we’re gonna catch a trout



now, pull that drummer out from behind that bottle

bring me my pipe, we’re gonna shake it

slap that drummer with a pie that smells

take me down to california, baby

take me down to california, baby

take me down to california, baby



yes, the comic book and me, just us, we caught the bus

the poor little chauffeur, though, she was back in bed

on the very next day, with a nose full of pus

yea heavy and a bottle of bread

yea heavy and a bottle of bread

yea heavy and a bottle of bread"
1975,The Basement Tapes,"Open the Door, Homer","now, there’s a certain thing

that i learned from jim

that he’d always make sure i’d understand

and that is that there’s a certain way

that a man must swim

if he expects to live off

of the fat of the land

open the door, homer

i’ve heard it said before

open the door, homer

i’ve heard it said before

but i ain’t gonna hear it said no more



now, there’s a certain thing

that i learned from my friend, mouse

a fella who always blushes

and that is that ev’ryone

must always flush out his house

if he don’t expect to be

goin’ ’round housing flushes

open the door, homer

i’ve heard it said before

open the door, homer

i’ve heard it said before

but i ain’t gonna hear it said no more



“take care of all your memories”

said my friend, mick

“for you cannot relive them

and remember when you’re out there

tryin’ to heal the sick

that you must always

first forgive them”

open the door, homer

i’ve heard it said before

open the door, homer

i’ve heard it said before

but i ain’t gonna hear it said no more"
1975,The Basement Tapes,Don’t Ya Tell Henry,"don’t ya tell henry

apple’s got your fly



i went down to the river on a saturday morn

a-lookin’ around just to see who’s born

i found a little chicken down on his knees

i went up and yelled to him, “please, please, please”

he said, “don’t ya tell henry

don’t ya tell henry

don’t ya tell henry

apple’s got your fly”



i went down to the corner at a-half past ten

i’s lookin’ around, i wouldn’t say when

i looked down low, i looked above

and who did i see but the one i love

she said, “don’t ya tell henry

don’t ya tell henry

don’t ya tell henry

apple’s got your fly”



now, i went down to the beanery at half past twelve

a-lookin’ around just to see myself

i spotted a horse and a donkey, too

i looked for a cow and i saw me a few

they said, “don’t ya tell henry

don’t ya tell henry

don’t ya tell henry

apple’s got your fly”



now, i went down to the pumphouse the other night

a-lookin’ around, it was outa sight

i looked high and low for that big ol’ tree

i did go upstairs but i didn’t see nobody but me

i said, “don’t ya tell henry

don’t ya tell henry

don’t ya tell henry

apple’s got your fly”"
1975,The Basement Tapes,Long Distance Operator,"long-distance operator

place this call, it’s not for fun

long-distance operator

please, place this call, you know it’s not for fun

i gotta get a message to my baby

you know, she’s not just anyone



there are thousands in the phone booth

thousands at the gate

there are thousands in the phone booth

thousands at the gate

ev’rybody wants to make a long-distance call

but you know they’re just gonna have to wait



if a call comes from louisiana

please, let it ride

if a call comes from louisiana

please, let it ride

this phone booth’s on fire

it’s getting hot inside



ev’rybody wants to be my friend

but nobody wants to get higher

ev’rybody wants to be my friend

but nobody wants to get higher

long-distance operator

i believe i’m stranglin’ on this telephone wire"
1975,The Basement Tapes,This Weel's On Fire,"if your mem’ry serves you well

we were goin’ to meet again and wait

so i’m goin’ to unpack all my things

and sit before it gets too late

no man alive will come to you

with another tale to tell

but you know that we shall meet again

if your mem’ry serves you well

this wheel’s on fire

rolling down the road

best notify my next of kin

this wheel shall explode



if your mem’ry serves you well

i was goin’ to confiscate your lace

and wrap it up in a sailor’s knot

and hide it in your case

if i knew for sure that it was yours . . .

but it was oh so hard to tell

but you knew that we would meet again

if your mem’ry serves you well

this wheel’s on fire

rolling down the road

best notify my next of kin

this wheel shall explode



if your mem’ry serves you well

you’ll remember you’re the one

that called on me to call on them

to get you your favors done

and after ev’ry plan had failed

and there was nothing more to tell

you knew that we would meet again

if your mem’ry served you well

this wheel’s on fire

rolling down the road

best notify my next of kin

this wheel shall explode"
1975,Blood on the Tracks,Meet Me in the Morning,"meet me in the morning, 56th and wabasha

meet me in the morning, 56th and wabasha

honey, we could be in kansas

by time the snow begins to thaw



they say the darkest hour is right before the dawn

they say the darkest hour is right before the dawn

but you wouldn’t know it by me

every day’s been darkness since you been gone



little rooster crowin’, there must be something on his mind

little rooster crowin’, there must be something on his mind

well, i feel just like that rooster

honey, ya treat me so unkind



the birds are flyin’ low babe, honey i feel so exposed

well, the birds are flyin’ low babe, honey i feel so exposed

well now, i ain’t got any matches

and the station doors are closed



well, i struggled through barbed wire, felt the hail fall from above

well, i struggled through barbed wire, felt the hail fall from above

well, you know i even outran the hound dogs

honey, you know i’ve earned your love



look at the sun sinkin’ like a ship

look at the sun sinkin’ like a ship

ain’t that just like my heart, babe

when you kissed my lips"
1975,Blood on the Tracks,You’re Gonna Make Me Lonesome When You Go,"i’ve seen love go by my door

it’s never been this close before

never been so easy or so slow

been shooting in the dark too long

when somethin’s not right it’s wrong

yer gonna make me lonesome when you go



dragon clouds so high above

i’ve only known careless love

it’s always hit me from below

this time around it’s more correct

right on target, so direct

yer gonna make me lonesome when you go



purple clover, queen anne’s lace

crimson hair across your face

you could make me cry if you don’t know

can’t remember what i was thinkin’ of

you might be spoilin’ me too much, love

yer gonna make me lonesome when you go



flowers on the hillside, bloomin’ crazy

crickets talkin’ back and forth in rhyme

blue river runnin’ slow and lazy

i could stay with you forever and never realize the time



situations have ended sad

relationships have all been bad

mine’ve been like verlaine’s and rimbaud

but there’s no way i can compare

all those scenes to this affair

yer gonna make me lonesome when you go



yer gonna make me wonder what i’m doin’

stayin’ far behind without you

yer gonna make me wonder what i’m sayin’

yer gonna make me give myself a good talkin’ to



i’ll look for you in old honolulu

san francisco, ashtabula

yer gonna have to leave me now, i know

but i’ll see you in the sky above

in the tall grass, in the ones i love

yer gonna make me lonesome when you go"
1975,The Basement Tapes,Clothes Line Saga,"after a while we took in the clothes

nobody said very much

just some old wild shirts and a couple pairs of pants

which nobody really wanted to touch

mama come in and picked up a book

an’ papa asked her what it was

someone else asked, “what do you care”

papa said, “well, just because”

then they started to take back their clothes

hang ’em on the line

it was january the thirtieth

and everybody was feelin’ fine



the next day everybody got up

seein’ if the clothes were dry

the dogs were barking, a neighbor passed

mama, of course, she said, “hi”

“have you heard the news” he said, with a grin

“the vice-president’s gone mad”

“where” “downtown.” “when” “last night”

“hmm, say, that’s too bad”

“well, there’s nothin’ we can do about it,” said the neighbor

“it’s just somethin’ we’re gonna have to forget”

“yes, i guess so,” said ma

then she asked me if the clothes was still wet



i reached up, touched my shirt

and the neighbor said, “are those clothes yours”

i said, “some of ’em, not all of ’em”

he said, “ya always help out around here with the chores”

i said, “sometime, not all the time”

then my neighbor, he blew his nose

just as papa yelled outside

“mama wants you t’ come back in the house and bring them clothes”

well, i just do what i’m told

so, i did it, of course

i went back in the house and mama met me

and then i shut all the doors
copyright © 1969 by dwarf music; renewed 19"
1975,The Basement Tapes,Nothing Was Delivered,"nothing was delivered

and i tell this truth to you

not out of spite or anger

but simply because it’s true

now, i hope you won’t object to this

giving back all of what you owe

the fewer words you have to waste on this

the sooner you can go



nothing is better, nothing is best

take heed of this and get plenty of rest



nothing was delivered

but i can’t say i sympathize

with what your fate is going to be

yes, for telling all those lies

now you must provide some answers

for what you sell has not been received

and the sooner you come up with them

the sooner you can leave



nothing is better, nothing is best

take heed of this and get plenty rest



(now you know)

nothing was delivered

and it’s up to you to say

just what you had in mind

when you made ev’rybody pay

no, nothing was delivered

yes, ’n’ someone must explain

that as long as it takes to do this

then that’s how long that you’ll remain



nothing is better, nothing is best

take heed of this and get plenty rest"
1975,The Basement Tapes,Tiny Montgomery,"well you can tell ev’rybody

down in ol’ frisco

tell ’em

tiny montgomery says hello



now ev’ry boy and girl’s

gonna get their bang

’cause tiny montgomery’s

gonna shake that thing

tell ev’rybody

down in ol’ frisco

that tiny montgomery’s comin’

down to say hello



skinny moo and

half-track frank

they’re gonna both be gettin’

outa the tank

one bird book

and a buzzard and a crow

tell ’em all

that tiny’s gonna say hello



scratch your dad

do that bird

suck that pig

and bring it on home

pick that drip

and bake that dough

tell ’em all

that tiny says hello



now he’s king of the drunks

an’ he squeezes, too

watch out, lester

take it, lou

join the monks

the c.i.o.

tell ’em all

that tiny montgomery says hello



now grease that pig

and sing praise

go on out

and gas that dog

trick on in

honk that stink

take it on down

and watch it grow

play it low

and pick it up

take it on in

in a plucking cup

three-legged man

and a hot-lipped hoe

tell ’em all

montgomery says hello



well you can tell ev’rybody

down in ol’ frisco

tell ’em all

montgomery says hello"
1976,Desire,Hurricane,"pistol shots ring out in the barroom night

enter patty valentine from the upper hall

she sees the bartender in a pool of blood

cries out, “my god, they killed them all”

here comes the story of the hurricane

the man the authorities came to blame

for somethin’ that he never done

put in a prison cell, but one time he could-a been

the champion of the world



three bodies lyin’ there does patty see

and another man named bello, movin’ around mysteriously

“i didn’t do it,” he says, and he throws up his hands

“i was only robbin’ the register, i hope you understand

i saw them leavin’,” he says, and he stops

“one of us had better call up the cops”

and so patty calls the cops

and they arrive on the scene with their red lights flashin’

in the hot new jersey night



meanwhile, far away in another part of town

rubin carter and a couple of friends are drivin’ around

number one contender for the middleweight crown

had no idea what kinda shit was about to go down

when a cop pulled him over to the side of the road

just like the time before and the time before that

in paterson that’s just the way things go

if you’re black you might as well not show up on the street

’less you wanna draw the heat



alfred bello had a partner and he had a rap for the cops

him and arthur dexter bradley were just out prowlin’ around

he said, “i saw two men runnin’ out, they looked like middleweights

they jumped into a white car with out-of-state plates”

and miss patty valentine just nodded her head

cop said, “wait a minute, boys, this one’s not dead”

so they took him to the infirmary

and though this man could hardly see

they told him that he could identify the guilty men



four in the mornin’ and they haul rubin in

take him to the hospital and they bring him upstairs

the wounded man looks up through his one dyin’ eye

says, “wha’d you bring him in here for he ain’t the guy”

yes, here’s the story of the hurricane

the man the authorities came to blame

for somethin’ that he never done

put in a prison cell, but one time he could-a been

the champion of the world



four months later, the ghettos are in flame

rubin’s in south america, fightin’ for his name

while arthur dexter bradley’s still in the robbery game

and the cops are puttin’ the screws to him, lookin’ for somebody to blame

“remember that murder that happened in a bar”

“remember you said you saw the getaway car”

“you think you’d like to play ball with the law”

“think it might-a been that fighter that you saw runnin’ that night”

“don’t forget that you are white”



arthur dexter bradley said, “i’m really not sure”

cops said, “a poor boy like you could use a break

we got you for the motel job and we’re talkin’ to your friend bello

now you don’t wanta have to go back to jail, be a nice fellow

you’ll be doin’ society a favor

that sonofabitch is brave and gettin’ braver

we want to put his ass in stir

we want to pin this triple murder on him

he ain’t no gentleman jim”



rubin could take a man out with just one punch

but he never did like to talk about it all that much

it’s my work, he’d say, and i do it for pay

and when it’s over i’d just as soon go on my way

up to some paradise

where the trout streams flow and the air is nice

and ride a horse along a trail

but then they took him to the jailhouse

where they try to turn a man into a mouse



all of rubin’s cards were marked in advance

the trial was a pig-circus, he never had a chance

the judge made rubin’s witnesses drunkards from the slums

to the white folks who watched he was a revolutionary bum

and to the black folks he was just a crazy nigger

no one doubted that he pulled the trigger

and though they could not produce the gun

the d.a. said he was the one who did the deed

and the all-white jury agreed



rubin carter was falsely tried

the crime was murder “one,” guess who testified

bello and bradley and they both baldly lied

and the newspapers, they all went along for the ride

how can the life of such a man

be in the palm of some fool’s hand

to see him obviously framed

couldn’t help but make me feel ashamed to live in a land

where justice is a game



now all the criminals in their coats and their ties

are free to drink martinis and watch the sun rise

while rubin sits like buddha in a ten-foot cell

an innocent man in a living hell

that’s the story of the hurricane

but it won’t be over till they clear his name

and give him back the time he’s done

put in a prison cell, but one time he could-a been

the champion of the world"
1976,Desire,Mozambique,"i like to spend some time in mozambique

the sunny sky is aqua blue

and all the couples dancing cheek to cheek

it’s very nice to stay a week or two



there’s lot of pretty girls in mozambique

and plenty time for good romance

and everybody likes to stop and speak

to give the special one you seek a chance

or maybe say hello with just a glance



lying next to her by the ocean

reaching out and touching her hand

whispering your secret emotion

magic in a magical land



and when it’s time for leaving mozambique

to say goodbye to sand and sea

you turn around to take a final peek

and you see why it’s so unique to be

among the lovely people living free

upon the beach of sunny mozambique"
1976,Desire,One More Cup of Coffee (Valley Below),"your breath is sweet

your eyes are like two jewels in the sky

your back is straight, your hair is smooth

on the pillow where you lie

but i don’t sense affection

no gratitude or love

your loyalty is not to me

but to the stars above



one more cup of coffee for the road

one more cup of coffee ’fore i go

to the valley below



your daddy he’s an outlaw

and a wanderer by trade

he’ll teach you how to pick and choose

and how to throw the blade

he oversees his kingdom

so no stranger does intrude

his voice it trembles as he calls out

for another plate of food



one more cup of coffee for the road

one more cup of coffee ’fore i go

to the valley below



your sister sees the future

like your mama and yourself

you’ve never learned to read or write

there’s no books upon your shelf

and your pleasure knows no limits

your voice is like a meadowlark

but your heart is like an ocean

mysterious and dark



one more cup of coffee for the road

one more cup of coffee ’fore i go

to the valley below"
1976,Desire,Sara,"i laid on a dune, i looked at the sky

when the children were babies and played on the beach

you came up behind me, i saw you go by

you were always so close and still within reach



sara, sara

whatever made you want to change your mind

sara, sara

so easy to look at, so hard to define



i can still see them playin’ with their pails in the sand

they run to the water their buckets to fill

i can still see the shells fallin’ out of their hands

as they follow each other back up the hill



sara, sara

sweet virgin angel, sweet love of my life

sara, sara

radiant jewel, mystical wife



sleepin’ in the woods by a fire in the night

drinkin’ white rum in a portugal bar

them playin’ leapfrog and hearin’ about snow white

you in the marketplace in savanna-la-mar



sara, sara

it’s all so clear, i could never forget

sara, sara

lovin’ you is the one thing i’ll never regret



i can still hear the sounds of those methodist bells

i’d taken the cure and had just gotten through

stayin’ up for days in the chelsea hotel

writin’ “sad-eyed lady of the lowlands” for you



sara, sara

wherever we travel we’re never apart

sara, oh sara

beautiful lady, so dear to my heart



how did i meet you i don’t know

a messenger sent me in a tropical storm

you were there in the winter, moonlight on the snow

and on lily pond lane when the weather was warm



sara, oh sara

scorpio sphinx in a calico dress

sara, sara

you must forgive me my unworthiness



now the beach is deserted except for some kelp

and a piece of an old ship that lies on the shore

you always responded when i needed your help

you gimme a map and a key to your door



sara, oh sara

glamorous nymph with an arrow and bow

sara, oh sara

don’t ever leave me, don’t ever go"
1976,Desire,Isis,"i married isis on the fifth day of may

but i could not hold on to her very long

so i cut off my hair and i rode straight away

for the wild unknown country where i could not go wrong



i came to a high place of darkness and light

the dividing line ran through the center of town

i hitched up my pony to a post on the right

went in to a laundry to wash my clothes down



a man in the corner approached me for a match

i knew right away he was not ordinary

he said, “are you lookin’ for somethin’ easy to catch”

i said, “i got no money.” he said, “that ain’t necessary”



we set out that night for the cold in the north

i gave him my blanket, he gave me his word

i said, “where are we goin’” he said we’d be back by the fourth

i said, “that’s the best news that i’ve ever heard”



i was thinkin’ about turquoise, i was thinkin’ about gold

i was thinkin’ about diamonds and the world’s biggest necklace

as we rode through the canyons, through the devilish cold

i was thinkin’ about isis, how she thought i was so reckless



how she told me that one day we would meet up again

and things would be different the next time we wed

if i only could hang on and just be her friend

i still can’t remember all the best things she said



we came to the pyramids all embedded in ice

he said, “there’s a body i’m tryin’ to find

if i carry it out it’ll bring a good price”

’twas then that i knew what he had on his mind



the wind it was howlin’ and the snow was outrageous

we chopped through the night and we chopped through the dawn

when he died i was hopin’ that it wasn’t contagious

but i made up my mind that i had to go on



i broke into the tomb, but the casket was empty

there was no jewels, no nothin’, i felt i’d been had

when i saw that my partner was just bein’ friendly

when i took up his offer i must-a been mad



i picked up his body and i dragged him inside

threw him down in the hole and i put back the cover

i said a quick prayer and i felt satisfied

then i rode back to find isis just to tell her i love her



she was there in the meadow where the creek used to rise

blinded by sleep and in need of a bed

i came in from the east with the sun in my eyes

i cursed her one time then i rode on ahead



she said, “where ya been” i said, “no place special”

she said, “you look different.” i said, “well, not quite”

she said, “you been gone.” i said, “that’s only natural”

she said, “you gonna stay” i said, “yeah, i jes might”



isis, oh, isis, you mystical child

what drives me to you is what drives me insane

i still can remember the way that you smiled

on the fifth day of may in the drizzlin’ rain"
1976,Desire,Romance in Durango,"hot chili peppers in the blistering sun

dust on my face and my cape

me and magdalena on the run

i think this time we shall escape



sold my guitar to the baker’s son

for a few crumbs and a place to hide

but i can get another one

and i’ll play for magdalena as we ride



no llores, mi querida

dios nos vigila

soon the horse will take us to durango

agarrame, mi vida

soon the desert will be gone

soon you will be dancing the fandango



past the aztec ruins and the ghosts of our people

hoofbeats like castanets on stone

at night i dream of bells in the village steeple

then i see the bloody face of ramon



was it me that shot him down in the cantina

was it my hand that held the gun

come, let us fly, my magdalena

the dogs are barking and what’s done is done



no ilores, mi querida

dios nos vigila

soon the horse will take us to durango

agarrame, mi vida

soon the desert will be gone

soon you will be dancing the fandango



at the corrida we’ll sit in the shade

and watch the young torero stand alone

we’ll drink tequila where our grandfathers stayed

when they rode with villa into torreón



then the padre will recite the prayers of old

in the little church this side of town

i will wear new boots and an earring of gold

you’ll shine with diamonds in your wedding gown



the way is long but the end is near

already the fiesta has begun

the face of god will appear

with his serpent eyes of obsidian



no ilores, mi querida

dio nos vigila

soon the horse will take us to durango

agarrame, mi vida

soon the desert will be gone

soon you will be dancing the fandango



was that the thunder that i heard

my head is vibrating, i feel a sharp pain

come sit by me, don’t say a word

oh, can it be that i am slain



quick, magdalena, take my gun

look up in the hills, that flash of light

aim well my little one

we may not make it through the night



no ilores, mi querida

dios nos vigila

soon the horse will take us to durango

agarrame, mi vida

soon the desert will be gone

soon you will be dancing the fandango"
1976,Desire,Black Diamond Bay,"up on the white veranda

she wears a necktie and a panama hat

her passport shows a face

from another time and place

she looks nothin’ like that

and all the remnants of her recent past

are scattered in the wild wind

she walks across the marble floor

where a voice from the gambling room is callin’ her to come on in

she smiles, walks the other way

as the last ship sails and the moon fades away

from black diamond bay



as the mornin’ light breaks open, the greek comes down

and he asks for a rope and a pen that will write

“pardon, monsieur,” the desk clerk says

carefully removes his fez

“am i hearin’ you right”

and as the yellow fog is liftin’

the greek is quickly headin’ for the second floor

she passes him on the spiral staircase

thinkin’ he’s the soviet ambassador

she starts to speak, but he walks away

as the storm clouds rise and the palm branches sway

on black diamond bay



a soldier sits beneath the fan

doin’ business with a tiny man who sells him a ring

lightning strikes, the lights blow out

the desk clerk wakes and begins to shout

“can you see anything”

then the greek appears on the second floor

in his bare feet with a rope around his neck

while a loser in the gambling room lights up a candle

says, “open up another deck”

but the dealer says, “attendez-vous, s’il vous plait”

as the rain beats down and the cranes fly away

from black diamond bay



the desk clerk heard the woman laugh

as he looked around the aftermath and the soldier got tough

he tried to grab the woman’s hand

said, “here’s a ring, it cost a grand”

she said, “that ain’t enough”

then she ran upstairs to pack her bags

while a horse-drawn taxi waited at the curb

she passed the door that the greek had locked

where a handwritten sign read, “do not disturb”

she knocked upon it anyway

as the sun went down and the music did play

on black diamond bay



“i’ve got to talk to someone quick”

but the greek said, “go away,” and he kicked the chair to the floor

he hung there from the chandelier

she cried, “help, there’s danger near

please open up the door”

then the volcano erupted

and the lava flowed down from the mountain high above

the soldier and the tiny man were crouched in the corner

thinking of forbidden love

but the desk clerk said, “it happens every day”

as the stars fell down and the fields burned away

on black diamond bay



as the island slowly sank

the loser finally broke the bank in the gambling room

the dealer said, “it’s too late now

you can take your money, but i don’t know how

you’ll spend it in the tomb”

the tiny man bit the soldier’s ear

as the floor caved in and the boiler in the basement blew

while she’s out on the balcony, where a stranger tells her

“my darling, je vous aime beaucoup”

she sheds a tear and then begins to pray

as the fire burns on and the smoke drifts away

from black diamond bay



i was sittin’ home alone one night in l.a.

watchin’ old cronkite on the seven o’clock news

it seems there was an earthquake that

left nothin’ but a panama hat

and a pair of old greek shoes

didn’t seem like much was happenin’,

so i turned it off and went to grab another beer

seems like every time you turn around

there’s another hard-luck story that you’re gonna hear

and there’s really nothin’ anyone can say

and i never did plan to go anyway

to black diamond bay"
1976,"The Bootleg Series, Vol 1-3: Rare & Unreleased 1961-1991",Seven Days,"seven days, seven more days she’ll be comin’

i’ll be waiting at the station for her to arrive

seven more days, all i gotta do is survive



she been gone ever since i been a child

ever since i seen her smile, i ain’t forgotten her eyes

she had a face that could outshine the sun in the skies



i been good, i been good while i been waitin’

maybe guilty of hesitatin’, i just been holdin’ on

seven more days, all that’ll be gone



there’s kissing in the valley

thieving in the alley

fighting every inch of the way

trying to be tender

with somebody i remember

in a night that’s always brighter’n the day



seven days, seven more days that are connected

just like i expected, she’ll be comin’ on forth

my beautiful comrade from the north



there’s kissing in the valley

thieving in the alley

fighting every inch of the way

trying to be tender

with somebody i remember

in a night that’s always brighter’n the day"
1976,Desire,Joey,"born in red hook, brooklyn, in the year of who knows when

opened up his eyes to the tune of an accordion

always on the outside of whatever side there was

when they asked him why it had to be that way, “well,” he answered,

    “just because”



larry was the oldest, joey was next to last

they called joe “crazy,” the baby they called “kid blast”

some say they lived off gambling and runnin’ numbers too

it always seemed they got caught between the mob and the men in blue



joey, joey

king of the streets, child of clay

joey, joey

what made them want to come and blow you away



there was talk they killed their rivals, but the truth was far from that

no one ever knew for sure where they were really at

when they tried to strangle larry, joey almost hit the roof

he went out that night to seek revenge, thinkin’ he was bulletproof



the war broke out at the break of dawn, it emptied out the streets

joey and his brothers suffered terrible defeats

till they ventured out behind the lines and took five prisoners

they stashed them away in a basement, called them amateurs



the hostages were tremblin’ when they heard a man exclaim

“let’s blow this place to kingdom come, let con edison take the blame”

but joey stepped up, he raised his hand, said, “we’re not those kind of men

it’s peace and quiet that we need to go back to work again”



joey, joey

king of the streets, child of clay

joey, joey

what made them want to come and blow you away



the police department hounded him, they called him mr. smith

they got him on conspiracy, they were never sure who with

“what time is it” said the judge to joey when they met

“five to ten,” said joey. the judge says, “that’s exactly what you get”



he did ten years in attica, reading nietzsche and wilhelm reich

they threw him in the hole one time for tryin’ to stop a strike

his closest friends were black men ’cause they seemed to understand

what it’s like to be in society with a shackle on your hand



when they let him out in ’71 he’d lost a little weight

but he dressed like jimmy cagney and i swear he did look great

he tried to find the way back into the life he left behind

to the boss he said, “i have returned and now i want what’s mine”



joey, joey

king of the streets, child of clay

joey, joey

why did they have to come and blow you away



it was true that in his later years he would not carry a gun

“i’m around too many children,” he’d say, “they should never know of one”

yet he walked right into the clubhouse of his lifelong deadly foe

emptied out the register, said, “tell ’em it was crazy joe”



one day they blew him down in a clam bar in new york

he could see it comin’ through the door as he lifted up his fork

he pushed the table over to protect his family

then he staggered out into the streets of little italy



joey, joey

king of the streets, child of clay

joey, joey

what made them want to come and blow you away



sister jacqueline and carmela and mother mary all did weep

i heard his best friend frankie say, “he ain’t dead, he’s just asleep”

then i saw the old man’s limousine head back towards the grave

i guess he had to say one last goodbye to the son that he could not save



the sun turned cold over president street and the town of brooklyn mourned

they said a mass in the old church near the house where he was born

and someday if god’s in heaven overlookin’ his preserve

i know the men that shot him down will get what they deserve



joey, joey

king of the streets, child of clay

joey, joey

what made them want to come and blow you away"
1976,Desire,"Oh, Sister","oh, sister, when i come to lie in your arms

you should not treat me like a stranger

our father would not like the way that you act

and you must realize the danger



oh, sister, am i not a brother to you

and one deserving of affection

and is our purpose not the same on this earth

to love and follow his direction



we grew up together

from the cradle to the grave

we died and were reborn

and then mysteriously saved



oh, sister, when i come to knock on your door

don’t turn away, you’ll create sorrow

time is an ocean but it ends at the shore

you may not see me tomorrow"
1978,Street-legal,"Baby, Stop Crying","you been down to the bottom with a bad man, babe

but you’re back where you belong

go get me my pistol, babe

honey, i can’t tell right from wrong



baby, please stop crying, stop crying, stop crying

baby, please stop crying, stop crying, stop crying

baby, please stop crying

you know, i know, the sun will always shine

so baby, please stop crying ’cause it’s tearing up my mind



go down to the river, babe

honey, i will meet you there

go down to the river, babe

honey, i will pay your fare



baby, please stop crying, stop crying, stop crying

baby, please stop crying, stop crying, stop crying

baby, please stop crying

you know, i know, the sun will always shine

so baby, please stop crying ’cause it’s tearing up my mind



if you’re looking for assistance, babe

or if you just want some company

or if you just want a friend you can talk to

honey, come and see about me



baby, please stop crying, stop crying, stop crying

baby, please stop crying, stop crying, stop crying

baby, please stop crying

you know, i know, the sun will always shine

so baby, please stop crying ’cause it’s tearing up my mind



you been hurt so many times

and i know what you’re thinking of

well, i don’t have to be no doctor, babe

to see that you’re madly in love



baby, please stop crying, stop crying, stop crying

baby, please stop crying, stop crying, stop crying

baby, please stop crying

you know, i know, the sun will always shine

so baby, please stop crying ’cause it’s tearing up my mind"
1978,Street-legal,Is Your Love in Vain?,"do you love me, or are you just extending goodwill

do you need me half as bad as you say, or are you just feeling guilt

i’ve been burned before and i know the score

so you won’t hear me complain

will i be able to count on you

or is your love in vain



are you so fast that you cannot see that i must have solitude

when i am in the darkness, why do you intrude

do you know my world, do you know my kind

or must i explain

will you let me be myself

or is your love in vain



well i’ve been to the mountain and i’ve been in the wind

i’ve been in and out of happiness

i have dined with kings, i’ve been offered wings

and i’ve never been too impressed



all right, i’ll take a chance, i will fall in love with you

if i’m a fool you can have the night, you can have the morning too

can you cook and sew, make flowers grow

do you understand my pain

are you willing to risk it all

or is your love in vain"
